e_number,ins_number,name,functional_class,typical_role_or_foods,digestion_absorption,metabolism,potential_effects,human_evidence,animal_evidence,adi_tdi,efsa_assessment,jecfa_assessment,eu_regulatory_note,confidence,curation_status,primary_sources,last_reviewed,notes
E200,200,Sorbic acid,Preservative,Preservation against yeasts and moulds,,,,,,"0-25 mg/kg bw/day (group, JECFA historical)",,,,High,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E202,202,Potassium sorbate,Preservative,Preservation against yeasts and moulds,,,,,,"0-25 mg/kg bw/day (group, JECFA historical)",,,,High,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E210,210,Benzoic acid,Preservative,Antimicrobial preservative,,,,,,"0-5 mg/kg bw/day (group, JECFA historical)",,,,High,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E211,211,Sodium benzoate,Preservative,Antimicrobial preservative,,,,,,"0-5 mg/kg bw/day (group, JECFA historical)",,,,High,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E220,220,Sulfur dioxide,Preservative; antioxidant,Controls microbes/oxidation; sulfite group,,,"Sulfite-sensitive individuals, including some people with asthma, can react; exposure is assessed as a group.",,,"0-0.7 mg/kg bw/day as SO2 (group, JECFA)",,,,High,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E221,221,Sodium sulfite,Preservative; antioxidant,Sulfite; group ADI expressed as sulfur dioxide,,,"Sulfite-sensitive individuals, including some people with asthma, can react; exposure is assessed as a group.",,,"0-0.7 mg/kg bw/day as SO2 (group, JECFA)",,,,High,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E223,223,Sodium metabisulfite,Preservative; antioxidant,Sulfite; group ADI expressed as sulfur dioxide,,,"Sulfite-sensitive individuals, including some people with asthma, can react; exposure is assessed as a group.",,,"0-0.7 mg/kg bw/day as SO2 (group, JECFA)",,,,High,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E249,249,Potassium nitrite,Preservative; curing agent,Cured meats; inhibits C. botulinum,Readily absorbed from the gastrointestinal tract.,Participates in nitrate-nitrite-nitric oxide pathways; nitrosation can occur under some conditions.,Technological benefit includes botulinal control; risk assessment considers methemoglobinemia and endogenous N-nitroso compound formation.,Processed-meat epidemiology is not additive-specific and includes multiple co-exposures.,,0-0.07 mg/kg bw/day as nitrite ion,Use latest EFSA nitrite/nitrate re-evaluation and exposure assessments.,JECFA ADI applies; verify current database entry and monograph.,,High,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,"Do not reduce to 'good/bad'; separate benefit, dose, exposure, context and evidence strength."
E250,250,Sodium nitrite,Preservative; curing agent,Cured meats; inhibits C. botulinum,Readily absorbed from the gastrointestinal tract.,Participates in nitrate-nitrite-nitric oxide pathways; nitrosation can occur under some conditions.,Technological benefit includes botulinal control; risk assessment considers methemoglobinemia and endogenous N-nitroso compound formation.,Processed-meat epidemiology is not additive-specific and includes multiple co-exposures.,,0-0.07 mg/kg bw/day as nitrite ion,Use latest EFSA nitrite/nitrate re-evaluation and exposure assessments.,JECFA ADI applies; verify current database entry and monograph.,,High,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,"Do not reduce to 'good/bad'; separate benefit, dose, exposure, context and evidence strength."
E251,251,Sodium nitrate,Preservative; curing agent,Cured meats; nitrate reservoir,Readily absorbed; some nitrate is secreted in saliva and reduced to nitrite by oral bacteria.,Enterosalivary nitrate-nitrite-nitric oxide pathway.,Assessment considers conversion to nitrite alongside physiological nitric-oxide pathways.,,,0-3.7 mg/kg bw/day as nitrate ion,,,,High,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E252,252,Potassium nitrate,Preservative; curing agent,Cured meats; nitrate reservoir,Readily absorbed; some nitrate is secreted in saliva and reduced to nitrite by oral bacteria.,Enterosalivary nitrate-nitrite-nitric oxide pathway.,Assessment considers conversion to nitrite alongside physiological nitric-oxide pathways.,,,0-3.7 mg/kg bw/day as nitrate ion,,,,High,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E260,260,Acetic acid,Acidity regulator; preservative,Acidification and flavour,,,,,,ADI not specified / not limited in common evaluations,,,,Medium,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E270,270,Lactic acid,Acidity regulator; preservative,Acidification; fermentation metabolite,,,,,,ADI not specified in common evaluations,,,,Medium,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E300,300,Ascorbic acid,Antioxidant,Vitamin C; antioxidant/reducing agent,,,,,,ADI not specified in common evaluations,,,,High,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E301,301,Sodium ascorbate,Antioxidant,Ascorbate salt; antioxidant,,,,,,ADI not specified in common evaluations,,,,Medium,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E306,306,Tocopherol-rich extract,Antioxidant,Vitamin E-related antioxidant mixture,,,,,,,,,,Medium,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E307,307,Alpha-tocopherol,Antioxidant,Vitamin E form; lipid antioxidant,,,,,,,,,,Medium,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E320,320,Butylated hydroxyanisole (BHA),Antioxidant,Protects fats/oils from oxidation,,,,,,,,,,Medium,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E321,321,Butylated hydroxytoluene (BHT),Antioxidant,Protects fats/oils from oxidation,,,,,,,,,,Medium,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E322,322,Lecithins,Emulsifier,Phospholipids; emulsification,,,,,,,,,,High,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E330,330,Citric acid,Acidity regulator; sequestrant,Acidification; chelation; flavour support,Citric acid is readily handled as a normal intermediary metabolite.,Participates in citrate/TCA-cycle-related metabolism.,,,,ADI not limited (JECFA),,,,High,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E331,331,Sodium citrates,Acidity regulator; sequestrant,Buffering and acidity control,,,,,,,,,,Medium,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E338,338,Phosphoric acid,Acidity regulator,Acidification; phosphate source,,,,,,,,,,Medium,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E407,407,Carrageenan,Gelling agent; thickener; stabilizer,Hydrocolloid from red seaweed,,,Food-grade carrageenan should be distinguished from degraded carrageenan/poligeenan in evidence review.,,,,,,,Medium,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,Critical literature-screening distinction.
E410,410,Locust bean gum,Thickener; stabilizer,Galactomannan hydrocolloid,,,,,,,,,,Medium,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E412,412,Guar gum,Thickener; stabilizer,Galactomannan hydrocolloid,,,,,,,,,,High,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E415,415,Xanthan gum,Thickener; stabilizer,Microbial polysaccharide hydrocolloid,,,,,,,,,,High,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E420,420,Sorbitol,Sweetener; humectant,Polyol/sugar alcohol,,,,,,,,,,High,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E433,433,Polysorbate 80,Emulsifier,Non-ionic surfactant/emulsifier,,,,,,,,,,Medium,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E440,440,Pectins,Gelling agent; stabilizer,Plant polysaccharide hydrocolloid,,,,,,,,,,High,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E460,460,Cellulose,Bulking agent; stabilizer,Dietary fibre / structural polysaccharide,,,,,,,,,,High,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
